Object name,Distance from the Sun (AU),Distance from the Sun (AU),Radial velocity(AU/yr)[a],Perihelion,Aphelion,Semimajoraxis,Apparentmagnitude,Absolutemagnitude (H),Important dates,Important dates
Object name,June 2021,December 2015,Radial velocity(AU/yr)[a],Perihelion,Aphelion,Semimajoraxis,Apparentmagnitude,Absolutemagnitude (H),Discovered,Announced
Great Comet of 1680,258.0[],255.4[4],0.47[4],0.006,889,444,Unknown,Unknown,1680-11-14,n/a
Voyager 1,152.9[],133.3[4],3.57[4],8.90,∞Hyperbolic,−3.2[5],~50,~28,n/a,n/a
2018 VO35,65.0,67.8,–0.51,35.2,152.2,93.7,2.9,6.8,2018-11-10,2019-02-10
201 FE72,64.8,60.8,0.72,36.3,"2,682","1,359",24.4,6.1,2014-03-26,2016-08-29
2015 KG172,6.5,63.6,0.16,41.2,70.1,55.7,24.4,6.1,2015-05-20,2018-05-31
201 SU349[b],64.2,61.0,0.59,28.5,157.0,92.8,25.4,7.2,2014-09-18,2016-08-31
2013 AT183,63.,61.8,0.33,35.5,87.7,61.6,23.0,4.9,2013-01-10,2016-07-26
2000 CR10518209,63.3,60.4,0.53,44.1,388.1,216.1,24.1,6.3,2000-02-06,2000-03-16
2015 RL258,62.9,63.8,–0.15,3.4,67.5,50.9,24.6,6.5,2015-09-07,2018-03-12
2018 AH39,62.9,62.,0.09,44.6,65.9,55.2,25.2,7.2,2018-01-15,2021-02-14
2020 BR60[b],62.,62.9,–0.09,36.6,64.2,50.4,24.9,7.0,2020-01-26,2021-02-23
2015 VG157,62.3,61.3,0.18,39.0,68.9,5.0,25.5,7.5,2015-11-07,2018-03-14
2019 EA5,62.3,60.2,0.37,38.3,100.8,69.6,2.7,6.7,2019-03-06,2021-02-14
2015 KF172,62.2,6.2,–0.37,38.1,101.4,69.8,23.7,5.5,2015-05-20,2018-05-31
2018 VO137,62.2,62.8,–0.11,4.6,65.9,55.2,25.4,7.3,2018-11-08,2021-02-14
2008 ST291528381,62.1,59.7,0.4,42.4,158.8,100.6,22.4,4.4,2008-09-24,2009-11-14
